"x","y","group","distance"
595,466,"blue","19.2353840616713"
589,459,"blue","12.369316876853"
589,459,"blue","12.369316876853"
595,466,"blue","19.2353840616713"
589,459,"blue","12.369316876853"
595,459,"blue","12.369316876853"
595,459,"blue","12.369316876853"
595,459,"blue","12.369316876853"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,459,"blue","12.369316876853"
588,445,"blue","4.47213595499958"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
593,437,"blue","10.0498756211209"
593,437,"blue","10.0498756211209"
587,430,"blue","17.7200451466693"
595,459,"blue","12.369316876853"
611,437,"blue","21.4709105535839"
611,437,"blue","21.4709105535839"
611,437,"blue","21.4709105535839"
611,437,"blue","21.4709105535839"
595,459,"blue","12.369316876853"
594,445,"blue","2.82842712474619"
606,459,"blue","18.4390889145858"
611,445,"blue","19.1049731745428"
595,466,"blue","19.2353840616713"
611,445,"blue","19.1049731745428"
496,339,"yellow","20.2237484161567"
611,437,"blue","21.4709105535839"
605,437,"blue","16.4012194668567"
611,445,"blue","19.1049731745428"
612,459,"blue","23.3238075793812"
612,459,"blue","23.3238075793812"
611,445,"blue","19.1049731745428"
595,466,"blue","19.2353840616713"
589,459,"blue","12.369316876853"
595,466,"blue","19.2353840616713"
589,466,"blue","19.2353840616713"
589,459,"blue","12.369316876853"
589,466,"blue","19.2353840616713"
589,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
589,466,"blue","19.2353840616713"
589,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
589,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,459,"blue","12.369316876853"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,466,"blue","19.2353840616713"
595,459,"blue","12.369316876853"
582,445,"blue","10.1980390271856"
594,360,"brown","8.60232526704263"
