"grupo","x","y","dif"
"red",663.574029345373,861.768333333333,13.4164078649987
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",628.901343115124,111.565,18.4390889145858
"red",641.903600451467,897.323888888889,7.28010988928052
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",637.569514672686,861.768333333333,8.48528137423857
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
"red",637.569514672686,861.768333333333,8.48528137423857
"red",641.903600451467,897.323888888889,7.28010988928052
"red",641.903600451467,897.323888888889,7.28010988928052
