"x","y","group","distance","dif_x","dif_y","p_x","p_y"
580,507,"purple","28.6530975637888","-68.0506329113924","123.287671232877","594","482"
569,507,"purple","35.3553390593274","-121.518987341772","123.287671232877","594","482"
569,507,"purple","35.3553390593274","-121.518987341772","123.287671232877","594","482"
580,507,"purple","28.6530975637888","-68.0506329113924","123.287671232877","594","482"
591,493,"purple","11.4017542509914","-14.5822784810127","54.2465753424658","594","482"
567,479,"purple","27.1661554144122","-131.240506329114","-14.7945205479452","594","482"
567,479,"purple","27.1661554144122","-131.240506329114","-14.7945205479452","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,507,"purple","28.6530975637888","-68.0506329113924","123.287671232877","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
568,500,"purple","31.6227766016838","-126.379746835443","88.7671232876712","594","482"
568,500,"purple","31.6227766016838","-126.379746835443","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
580,500,"purple","22.8035085019828","-68.0506329113924","88.7671232876712","594","482"
606,452,"purple","32.310988842807","58.3291139240506","-147.945205479452","594","482"
676,479,"orange","39.0512483795333","-184.708860759494","-44.3835616438356","714","488"
676,479,"orange","39.0512483795333","-184.708860759494","-44.3835616438356","714","488"
537,452,"purple","64.4127316607517","-277.063291139241","-147.945205479452","594","482"
539,479,"purple","55.0817574156816","-267.341772151899","-14.7945205479452","594","482"
676,479,"orange","39.0512483795333","-184.708860759494","-44.3835616438356","714","488"
