"grupo","x","y"
"purple",37.6638436601638,20.1903420775056
"purple",34.7131484749317,20.1903420775056
"purple",32.6303048147679,20.1903420775056
"orange",44.4610629192356,17.3688688374159
"orange",46.5439065793994,17.3688688374159
"purple",30.7210314596178,21.4247366200449
"orange",44.6346332242492,18.6032633799551
"orange",46.5439065793994,18.6032633799551
"orange",47.5853284094813,17.3688688374159
"purple",29.8531799345495,21.4247366200449
"orange",45.5024847493175,17.3688688374159
"orange",48.6267502395632,18.6032633799551
"orange",50.709593899727,17.3688688374159
"purple",32.8038751197816,21.4247366200449
"purple",32.6303048147679,20.1903420775056
"orange",44.8082035292629,22.3064470075729
"orange",45.8496253593448,22.3064470075729
"purple",32.8038751197816,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"orange",45.8496253593448,22.3064470075729
"orange",55.0488515250683,21.0720524650337
"purple",37.8374139651775,21.4247366200449
"purple",35.7545703050137,21.4247366200449
"purple",32.8038751197816,21.4247366200449
"orange",51.5774454247952,16.1344742948766
"purple",37.8374139651775,21.4247366200449
"purple",30.7210314596178,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"orange",46.717476884413,21.0720524650337
"purple",34.7131484749317,21.4247366200449
"purple",29.8531799345495,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"orange",48.8003205445768,21.0720524650337
"purple",37.8374139651775,21.4247366200449
"purple",32.8038751197816,21.4247366200449
"purple",27.7703362743857,21.4247366200449
"orange",47.7588987144949,21.0720524650337
"purple",29.8531799345495,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"orange",46.8910471894267,22.3064470075729
"purple",27.7703362743857,21.4247366200449
"purple",26.7289144443038,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"purple",33.6717266448498,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"orange",46.717476884413,21.0720524650337
"purple",29.8531799345495,21.4247366200449
"purple",24.8196410891537,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"orange",46.717476884413,21.0720524650337
"orange",47.7588987144949,21.0720524650337
"purple",24.8196410891537,21.4247366200449
"orange",44.8082035292629,22.3064470075729
"orange",46.717476884413,21.0720524650337
"purple",32.9774454247952,25.3042623251683
"orange",44.8082035292629,21.0720524650337
"orange",46.717476884413,21.0720524650337
"purple",34.7131484749317,20.1903420775056
"purple",29.8531799345495,21.4247366200449
"purple",27.7703362743857,21.4247366200449
"orange",43.7667816991809,21.0720524650337
"orange",46.717476884413,21.0720524650337
"purple",31.7624532896997,22.6591311625841
"purple",27.7703362743857,21.4247366200449
"orange",44.8082035292629,21.0720524650337
"orange",46.8910471894267,22.3064470075729
"purple",33.6717266448498,21.4247366200449
"purple",29.8531799345495,21.4247366200449
"purple",27.7703362743857,21.4247366200449
"orange",46.717476884413,21.0720524650337
"purple",33.6717266448498,21.4247366200449
"purple",24.8196410891537,21.4247366200449
"orange",44.4610629192356,17.3688688374159
"purple",33.8452969498635,22.6591311625841
"purple",27.7703362743857,21.4247366200449
"orange",43.7667816991809,21.0720524650337
"purple",33.6717266448498,21.4247366200449
"purple",27.7703362743857,21.4247366200449
"purple",26.7289144443038,21.4247366200449
"orange",51.9245860348225,21.0720524650337
"purple",33.6717266448498,21.4247366200449
"purple",27.7703362743857,21.4247366200449
"orange",43.7667816991809,21.0720524650337
"orange",44.8082035292629,21.0720524650337
"purple",34.5395781699181,18.9559475349663
"orange",44.8082035292629,21.0720524650337
"purple",34.7131484749317,21.4247366200449
"purple",33.6717266448498,21.4247366200449
"purple",27.7703362743857,21.4247366200449
"orange",43.7667816991809,21.0720524650337
"purple",30.7210314596178,20.1903420775056
"purple",29.6796096295359,18.9559475349663
"orange",43.5932113941673,18.6032633799551
"orange",45.5024847493175,17.3688688374159
"orange",47.4117581044676,16.1344742948766
"purple",33.6717266448498,21.4247366200449
