"grupo","x","y"
"purple",33.0587378461308,24.583594930796
"purple",31.0769604395192,24.583594930796
"purple",30.8967988571,23.3041083501731
"orange",47.3348598680692,18.3689458249134
"purple",25.3117898021037,14.5304860830448
"orange",47.3348598680692,18.3689458249134
"purple",29.4555061977461,14.5304860830448
"purple",25.3117898021037,14.5304860830448
"orange",47.1546982856499,15.9927564608995
"purple",30.8967988571,22.0246217695503
"purple",29.8158293625846,22.0246217695503
"orange",50.5777683516154,17.0894592442905
"purple",37.92310057145,19.4656486083045
"orange",49.3166372746807,15.9927564608995
"purple",25.6721129669422,19.4656486083045
"orange",50.5777683516154,18.3689458249134
"purple",28.7348598680692,19.4656486083045
"orange",50.2174451867769,13.4337832996537
"purple",37.7429389890308,14.5304860830448
"orange",49.4967988571,18.3689458249134
"purple",34.8603536703231,19.4656486083045
"purple",30.7166372746807,19.4656486083045
"orange",46.2538903735538,15.9927564608995
"orange",49.3166372746807,15.9927564608995
"purple",31.7976067691961,19.4656486083045
"orange",50.5777683516154,18.3689458249134
"orange",51.6587378461307,17.0894592442905
"orange",53.6405152527423,15.9927564608995
"orange",54.7214847472577,17.0894592442905
"orange",57.9643932308039,15.9927564608995
"purple",33.7793841758077,19.4656486083045
"purple",32.8785762637115,20.7451351889274
"purple",31.9777683516154,22.0246217695503
"purple",30.8967988571,22.0246217695503
"orange",50.5777683516154,18.3689458249134
"orange",52.5595457582269,17.0894592442905
"orange",54.7214847472577,15.9927564608995
"purple",35.9413231648385,19.4656486083045
"purple",28.7348598680692,19.4656486083045
"orange",50.5777683516154,19.6484324055363
"purple",32.8785762637115,22.0246217695503
"purple",29.8158293625846,22.0246217695503
"purple",28.9150214504884,22.0246217695503
"orange",46.0737287911345,13.4337832996537
"purple",32.8785762637115,22.0246217695503
"purple",28.9150214504884,22.0246217695503
"orange",54.7214847472577,15.9927564608995
"orange",55.8024542417731,17.0894592442905
"purple",32.8785762637115,22.0246217695503
"orange",51.4785762637115,15.9927564608995
"orange",51.6587378461307,17.0894592442905
"orange",55.8024542417731,15.9927564608995
"purple",32.8785762637115,22.0246217695503
"orange",54.7214847472577,17.0894592442905
"purple",32.8785762637115,22.0246217695503
"purple",29.8158293625846,20.7451351889274
"orange",47.1546982856499,15.9927564608995
"orange",50.5777683516154,17.0894592442905
"orange",53.8206768351615,18.3689458249134
"purple",39.0040700659654,19.4656486083045
"purple",31.7976067691961,19.4656486083045
"orange",47.3348598680692,18.3689458249134
"orange",50.5777683516154,18.3689458249134
"orange",51.6587378461307,18.3689458249134
"purple",32.6984146812923,17.0894592442905
"orange",46.0737287911345,13.4337832996537
"orange",54.5413231648385,13.4337832996537
"purple",39.1842316483846,22.0246217695503
"purple",32.8785762637115,22.0246217695503
"orange",47.1546982856499,13.4337832996537
"orange",51.2984146812923,13.4337832996537
"orange",54.5413231648385,13.4337832996537
"purple",30.5364756922615,15.8099726636676
"orange",46.2538903735538,15.9927564608995
"orange",50.3976067691961,15.9927564608995
"orange",51.6587378461307,17.0894592442905
"purple",32.8785762637115,19.4656486083045
"purple",31.7976067691961,19.4656486083045
"orange",48.0555061977461,13.4337832996537
"orange",51.2984146812923,13.4337832996537
"purple",32.8785762637115,19.4656486083045
"purple",31.7976067691961,19.4656486083045
"orange",48.4158293625846,18.3689458249134
"orange",50.5777683516154,18.3689458249134
"orange",53.6405152527423,17.0894592442905
"orange",54.7214847472577,15.9927564608995
"purple",32.8785762637115,22.0246217695503
"purple",29.8158293625846,22.0246217695503
"orange",47.1546982856499,15.9927564608995
"orange",49.3166372746807,15.9927564608995
"orange",54.7214847472577,15.9927564608995
"purple",32.8785762637115,22.0246217695503
"purple",30.8967988571,22.0246217695503
"purple",29.8158293625846,22.0246217695503
"orange",46.2538903735538,17.0894592442905
"orange",54.7214847472577,15.9927564608995
