"grupo","x","y"
"purple",36.1107555215057,25.5786600870268
"orange",50.1195410017898,23.0655877896598
"purple",39.465873824375,15.526370897559
"orange",49.9429558279545,20.5525154922929
"orange",51.0024668709659,20.5525154922929
"purple",28.5175930465909,18.039443194926
"orange",48.000518915767,20.5525154922929
"orange",49.0600299587784,20.5525154922929
"purple",31.696126175625,20.7320206563905
"orange",51.0024668709659,20.5525154922929
"orange",52.0619779139773,20.5525154922929
"orange",54.181,20.5525154922929
"purple",30.8132003064489,20.7320206563905
"orange",55.2405110430114,20.5525154922929
"purple",35.9341703476705,21.988556805074
"orange",59.4785552150568,20.5525154922929
"purple",35.9341703476705,20.7320206563905
"purple",32.7556372186364,20.7320206563905
"orange",54.5341703476705,25.3991549229291
"purple",36.1107555215057,25.5786600870268
"orange",48.1771040896023,23.0655877896598
"orange",57.5361183028693,21.8090516409764
"purple",37.170266564517,25.5786600870268
"orange",55.5936813906818,25.3991549229291
"orange",57.7127034767045,25.3991549229291
"purple",35.9341703476705,23.2450929537575
"orange",59.6551403888921,21.8090516409764
"orange",62.8336735179262,21.8090516409764
"purple",36.4639258691761,30.6048046817606
"orange",55.5936813906818,25.3991549229291
"orange",59.8317255627273,25.3991549229291
"purple",33.1088075663068,25.5786600870268
"orange",59.8317255627273,25.3991549229291
"orange",63.0102586917614,25.3991549229291
"purple",37.5234369121875,30.6048046817606
"purple",34.5214889569886,30.6048046817606
"orange",59.8317255627273,25.3991549229291
"orange",63.0102586917614,26.6556910716126
"purple",40.1722145197159,26.8351962357102
"purple",37.3468517383523,28.0917323843937
"purple",36.2873406953409,28.0917323843937
"orange",54.5341703476705,25.3991549229291
"orange",63.0102586917614,25.3991549229291
"purple",36.2873406953409,28.0917323843937
"orange",54.5341703476705,25.3991549229291
"orange",63.0102586917614,25.3991549229291
"purple",35.581,31.8613408304441
"purple",34.5214889569886,30.6048046817606
"orange",58.7722145197159,25.3991549229291
"purple",34.5214889569886,30.6048046817606
"orange",57.7127034767045,25.3991549229291
"orange",63.0102586917614,25.3991549229291
"purple",39.465873824375,30.6048046817606
"purple",36.4639258691761,30.6048046817606
"orange",63.0102586917614,25.3991549229291
"purple",35.2278296523295,26.8351962357102
"orange",58.4190441720455,20.5525154922929
"purple",39.465873824375,30.6048046817606
"orange",63.1868438655966,27.912227220296
"orange",64.246354908608,27.912227220296
"purple",39.465873824375,30.6048046817606
"orange",58.9487996935511,27.912227220296
"orange",60.0083107365625,27.912227220296
"orange",63.1868438655966,27.912227220296
"orange",64.0697697347727,26.6556910716126
"purple",45.4697697347728,29.3482685330772
"purple",41.4083107365625,30.6048046817606
"purple",39.465873824375,30.6048046817606
"purple",37.5234369121875,30.6048046817606
"orange",63.1868438655966,27.912227220296
"purple",39.465873824375,30.6048046817606
"purple",36.4639258691761,30.6048046817606
"orange",63.0102586917614,26.6556910716126
"orange",63.1868438655966,27.912227220296
"purple",41.2317255627273,28.0917323843937
"orange",59.8317255627273,25.3991549229291
"orange",63.0102586917614,25.3991549229291
"orange",64.0697697347727,25.3991549229291
"purple",36.4639258691761,30.6048046817606
"orange",54.3575851738352,21.8090516409764
"orange",62.8336735179262,21.8090516409764
"purple",38.4063627813636,28.0917323843937
"orange",62.6570883440909,20.5525154922929
"orange",62.8336735179262,21.8090516409764
"purple",38.4063627813636,28.0917323843937
"purple",38.2297776075284,26.8351962357102
"purple",36.2873406953409,26.8351962357102
"orange",63.3634290394318,31.6818356663464
"orange",64.4229400824432,30.425299517663
"purple",39.465873824375,30.6048046817606
"purple",36.4639258691761,30.6048046817606
"orange",51.3556372186364,25.3991549229291
