"grupo","x","y"
"purple",38.2855634225405,21.2322937441583
"purple",37.2713521390878,22.4505874883166
"purple",35.4119647860912,22.4505874883166
"purple",33.3835422191859,21.2322937441583
"orange",53.3358239304561,16.5331607309762
"purple",38.1165282086317,18.7957062558417
"purple",37.102316925179,18.7957062558417
"orange",49.4480140105541,20.1880419634512
"orange",51.4764365774595,20.1880419634512
"orange",51.6454717913683,21.4063357076095
"orange",53.5048591443649,21.4063357076095
"purple",37.6094225669054,26.1054687207916
"purple",35.581,26.1054687207916
"orange",51.6454717913683,21.4063357076095
"orange",53.5048591443649,21.4063357076095
"purple",37.6094225669054,26.1054687207916
"purple",35.581,26.1054687207916
"orange",53.3358239304561,17.7514544751346
"purple",37.6094225669054,26.1054687207916
"orange",49.4480140105541,20.1880419634512
"orange",53.5048591443649,20.1880419634512
"orange",54.5190704278176,20.1880419634512
"purple",43.6946902676215,16.3591187675251
"orange",58.5759155616283,20.1880419634512
"orange",61.6185494119864,20.1880419634512
"purple",37.2713521390878,21.2322937441583
"purple",36.2571408556351,21.2322937441583
"orange",53.1667887165473,15.3148669868179
"orange",54.181,15.3148669868179
"orange",58.2378451338107,15.3148669868179
"orange",61.2804789841688,15.3148669868179
"purple",40.4830212033546,26.1054687207916
"purple",37.6094225669054,26.1054687207916
"orange",53.5048591443649,20.1880419634512
"purple",40.1449507755371,21.2322937441583
"purple",37.2713521390878,21.2322937441583
"purple",36.2571408556351,21.2322937441583
"purple",35.2429295721824,21.2322937441583
"orange",54.181,15.3148669868179
"orange",61.2804789841688,15.3148669868179
"purple",36.4261760695439,23.6688812324749
"orange",50.4622252940068,20.1880419634512
"orange",61.6185494119864,20.1880419634512
"purple",43.8637254815302,21.2322937441583
"purple",40.1449507755371,21.2322937441583
"purple",36.2571408556351,21.2322937441583
"orange",53.5048591443649,20.1880419634512
"orange",56.5474929947229,20.1880419634512
"purple",43.8637254815302,21.2322937441583
"orange",61.6185494119864,20.1880419634512
"purple",44.032760695439,23.6688812324749
"purple",37.4403873529966,23.6688812324749
"purple",36.4261760695439,23.6688812324749
"orange",53.8429295721824,26.2795106842428
"orange",58.9139859894458,25.0612169400844
"orange",61.7875846258951,25.0612169400844
"purple",40.3139859894459,23.6688812324749
"orange",54.8571408556351,26.2795106842428
"orange",61.7875846258951,25.0612169400844
"purple",36.7642464973615,28.5420562091082
"purple",36.5952112834527,27.3237624649499
"orange",53.8429295721824,25.0612169400844
"orange",54.8571408556351,25.0612169400844
"orange",57.8997747059932,25.0612169400844
"orange",58.9139859894458,25.0612169400844
"orange",62.8017959093478,25.0612169400844
"purple",36.5952112834527,26.1054687207916
"orange",51.8145070052771,25.0612169400844
"orange",58.9139859894458,25.0612169400844
"purple",44.2017959093478,26.1054687207916
"purple",36.5952112834527,26.1054687207916
"orange",49.1099435827366,28.7160981725594
"orange",54.0119647860912,28.7160981725594
"purple",42.6804789841688,32.022895478132
"purple",36.9332817112703,30.8046017339736
"purple",36.7642464973615,29.7603499532665
"orange",50.9693309357332,28.7160981725594
"orange",54.0119647860912,27.4978044284011
"orange",54.8571408556351,26.2795106842428
"orange",56.8855634225405,25.0612169400844
"purple",37.7784577808142,29.7603499532665
"purple",36.7642464973615,29.7603499532665
"orange",51.8145070052771,25.0612169400844
"orange",53.8429295721824,25.0612169400844
"orange",55.8713521390878,25.0612169400844
"purple",44.3708311232566,27.3237624649499
"purple",40.4830212033546,27.3237624649499
"purple",36.5952112834527,27.3237624649499
"orange",53.8429295721824,25.0612169400844
"orange",58.9139859894458,25.0612169400844
"orange",65.8444297597059,25.0612169400844
"purple",36.7642464973615,29.7603499532665
"orange",51.8145070052771,25.0612169400844
"orange",53.8429295721824,25.0612169400844
"orange",55.8713521390878,25.0612169400844
"purple",40.6520564172634,28.5420562091082
"purple",40.4830212033546,27.3237624649499
"purple",37.6094225669054,27.3237624649499
"purple",36.5952112834527,26.1054687207916
"orange",61.2804789841688,16.5331607309762
"orange",62.4637254815302,17.7514544751346
"purple",37.6094225669054,26.1054687207916
"purple",36.5952112834527,27.3237624649499
"orange",53.3358239304561,16.5331607309762
"orange",58.2378451338107,16.5331607309762
"purple",40.4830212033546,26.1054687207916
"purple",36.5952112834527,27.3237624649499
"orange",55.3642464973615,16.5331607309762
"orange",57.3926690642668,17.7514544751346
"purple",40.4830212033546,26.1054687207916
"purple",31.693190080098,26.1054687207916
"purple",28.8195914436488,26.1054687207916
