"grupo","x_r","y_r","x","y","dif","dif_x","dif_y"
"blue",960,540,962.674094707521,521.194029850746,7.07106781186548,2.67409470752089,-18.8059701492537
"blue",960,540,960,518.507462686567,8,0,-21.4925373134328
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,957.325905292479,515.820895522388,9.05538513813742,-2.67409470752089,-24.1791044776119
"blue",960,540,957.325905292479,513.134328358209,10.0498756211209,-2.67409470752089,-26.865671641791
"blue",960,540,957.325905292479,513.134328358209,10.0498756211209,-2.67409470752089,-26.865671641791
"blue",960,540,957.325905292479,513.134328358209,10.0498756211209,-2.67409470752089,-26.865671641791
"blue",960,540,957.325905292479,513.134328358209,10.0498756211209,-2.67409470752089,-26.865671641791
"blue",960,540,957.325905292479,513.134328358209,10.0498756211209,-2.67409470752089,-26.865671641791
"blue",960,540,960,513.134328358209,10,0,-26.865671641791
"blue",960,540,960,513.134328358209,10,0,-26.865671641791
"blue",960,540,960,513.134328358209,10,0,-26.865671641791
"blue",960,540,960,513.134328358209,10,0,-26.865671641791
"blue",960,540,960,513.134328358209,10,0,-26.865671641791
"blue",960,540,960,513.134328358209,10,0,-26.865671641791
"blue",960,540,962.674094707521,513.134328358209,10.0498756211209,2.67409470752089,-26.865671641791
"blue",960,540,962.674094707521,513.134328358209,10.0498756211209,2.67409470752089,-26.865671641791
"blue",960,540,962.674094707521,513.134328358209,10.0498756211209,2.67409470752089,-26.865671641791
"blue",960,540,965.348189415042,513.134328358209,10.1980390271856,5.34818941504178,-26.865671641791
"blue",960,540,965.348189415042,513.134328358209,10.1980390271856,5.34818941504178,-26.865671641791
"blue",960,540,968.022284122563,513.134328358209,10.4403065089106,8.02228412256267,-26.865671641791
"blue",960,540,968.022284122563,513.134328358209,10.4403065089106,8.02228412256267,-26.865671641791
"blue",960,540,970.696378830084,515.820895522388,9.8488578017961,10.6963788300836,-24.1791044776119
"blue",960,540,970.696378830084,515.820895522388,9.8488578017961,10.6963788300836,-24.1791044776119
"blue",960,540,970.696378830084,515.820895522388,9.8488578017961,10.6963788300836,-24.1791044776119
"blue",960,540,970.696378830084,515.820895522388,9.8488578017961,10.6963788300836,-24.1791044776119
"blue",960,540,970.696378830084,515.820895522388,9.8488578017961,10.6963788300836,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,973.370473537605,515.820895522388,10.295630140987,13.3704735376045,-24.1791044776119
"blue",960,540,970.696378830084,513.134328358209,10.770329614269,10.6963788300836,-26.865671641791
"blue",960,540,970.696378830084,513.134328358209,10.770329614269,10.6963788300836,-26.865671641791
"blue",960,540,970.696378830084,513.134328358209,10.770329614269,10.6963788300836,-26.865671641791
"blue",960,540,968.022284122563,513.134328358209,10.4403065089106,8.02228412256267,-26.865671641791
"blue",960,540,968.022284122563,513.134328358209,10.4403065089106,8.02228412256267,-26.865671641791
"blue",960,540,965.348189415042,513.134328358209,10.1980390271856,5.34818941504178,-26.865671641791
"blue",960,540,965.348189415042,513.134328358209,10.1980390271856,5.34818941504178,-26.865671641791
"blue",960,540,962.674094707521,513.134328358209,10.0498756211209,2.67409470752089,-26.865671641791
"blue",960,540,962.674094707521,513.134328358209,10.0498756211209,2.67409470752089,-26.865671641791
"blue",960,540,962.674094707521,513.134328358209,10.0498756211209,2.67409470752089,-26.865671641791
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,960,515.820895522388,9,0,-24.1791044776119
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,962.674094707521,518.507462686567,8.06225774829855,2.67409470752089,-21.4925373134328
"blue",960,540,962.674094707521,515.820895522388,9.05538513813742,2.67409470752089,-24.1791044776119
"blue",960,540,968.022284122563,515.820895522388,9.48683298050514,8.02228412256267,-24.1791044776119
"blue",960,540,970.696378830084,515.820895522388,9.8488578017961,10.6963788300836,-24.1791044776119
