"x","y","group","distance","dif_x","dif_y","p_x","p_y"
598,416,"blue","10.295630140987",-5,9,"603","407"
604,430,"blue","23.0217288664427",1,23,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
610,430,"blue","24.0416305603426",7,23,"603","407"
603,416,"blue","9",0,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
604,430,"blue","23.0217288664427",1,23,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
604,430,"blue","23.0217288664427",1,23,"603","407"
604,430,"blue","23.0217288664427",1,23,"603","407"
603,416,"blue","9",0,9,"603","407"
610,430,"blue","24.0416305603426",7,23,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
603,416,"blue","9",0,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
598,416,"blue","10.295630140987",-5,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
603,416,"blue","9",0,9,"603","407"
609,416,"blue","10.816653826392",6,9,"603","407"
604,430,"blue","23.0217288664427",1,23,"603","407"
