"grupo","x","y"
"blue",945.183279742765,507.761194029851
"blue",945.183279742765,507.761194029851
"blue",945.183279742765,507.761194029851
"blue",947.652733118971,507.761194029851
"blue",947.652733118971,510.241102181401
"blue",947.652733118971,510.241102181401
"blue",950.122186495177,510.241102181401
"blue",950.122186495177,512.721010332951
"blue",950.122186495177,512.721010332951
"blue",950.122186495177,512.721010332951
"blue",950.122186495177,512.721010332951
"blue",950.122186495177,510.241102181401
"blue",950.122186495177,510.241102181401
"blue",950.122186495177,510.241102181401
"blue",950.122186495177,510.241102181401
"blue",950.122186495177,510.241102181401
"blue",947.652733118971,510.241102181401
"blue",947.652733118971,510.241102181401
"blue",945.183279742765,507.761194029851
"blue",947.652733118971,507.761194029851
"blue",947.652733118971,510.241102181401
"blue",947.652733118971,510.241102181401
"blue",950.122186495177,512.721010332951
"blue",950.122186495177,512.721010332951
"blue",950.122186495177,515.200918484501
"blue",952.591639871383,515.200918484501
"blue",952.591639871383,515.200918484501
"blue",955.061093247588,515.200918484501
"blue",955.061093247588,515.200918484501
"blue",955.061093247588,517.68082663605
"blue",955.061093247588,517.68082663605
"blue",955.061093247588,517.68082663605
"blue",955.061093247588,517.68082663605
"blue",955.061093247588,517.68082663605
"blue",952.591639871383,515.200918484501
"blue",950.122186495177,515.200918484501
"blue",950.122186495177,515.200918484501
"blue",947.652733118971,515.200918484501
"blue",947.652733118971,512.721010332951
"blue",945.183279742765,512.721010332951
"blue",945.183279742765,512.721010332951
"blue",942.713826366559,510.241102181401
"blue",942.713826366559,510.241102181401
"blue",942.713826366559,507.761194029851
"blue",942.713826366559,507.761194029851
"blue",945.183279742765,507.761194029851
"blue",945.183279742765,507.761194029851
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,507.761194029851
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,512.721010332951
"blue",945.183279742765,512.721010332951
"blue",945.183279742765,512.721010332951
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,507.761194029851
"blue",942.713826366559,507.761194029851
"blue",942.713826366559,507.761194029851
"blue",942.713826366559,505.281285878301
"blue",942.713826366559,502.801377726751
"blue",942.713826366559,502.801377726751
"blue",942.713826366559,502.801377726751
"blue",942.713826366559,500.321469575201
"blue",940.244372990354,500.321469575201
"blue",940.244372990354,500.321469575201
"blue",940.244372990354,500.321469575201
"blue",940.244372990354,500.321469575201
"blue",940.244372990354,500.321469575201
"blue",940.244372990354,500.321469575201
"blue",940.244372990354,500.321469575201
"blue",940.244372990354,502.801377726751
"blue",942.713826366559,505.281285878301
"blue",945.183279742765,505.281285878301
"blue",945.183279742765,505.281285878301
"blue",947.652733118971,507.761194029851
"blue",950.122186495177,510.241102181401
"blue",950.122186495177,512.721010332951
"blue",950.122186495177,512.721010332951
"blue",952.591639871383,515.200918484501
"blue",952.591639871383,515.200918484501
"blue",955.061093247588,517.68082663605
"blue",955.061093247588,517.68082663605
"blue",952.591639871383,517.68082663605
"blue",952.591639871383,517.68082663605
"blue",952.591639871383,517.68082663605
"blue",952.591639871383,517.68082663605
"blue",952.591639871383,517.68082663605
"blue",952.591639871383,517.68082663605
"blue",952.591639871383,517.68082663605
"blue",950.122186495177,517.68082663605
"blue",950.122186495177,515.200918484501
"blue",947.652733118971,515.200918484501
"blue",947.652733118971,515.200918484501
"blue",945.183279742765,517.68082663605
"blue",945.183279742765,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,520.160734787601
"blue",942.713826366559,520.160734787601
"blue",942.713826366559,520.160734787601
"blue",947.652733118971,520.160734787601
"blue",945.183279742765,522.64064293915
"blue",947.652733118971,522.64064293915
"blue",947.652733118971,520.160734787601
"blue",947.652733118971,522.64064293915
"blue",947.652733118971,522.64064293915
"blue",945.183279742765,520.160734787601
"blue",945.183279742765,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,517.68082663605
"blue",940.244372990354,515.200918484501
"blue",942.713826366559,512.721010332951
"blue",945.183279742765,512.721010332951
"blue",945.183279742765,512.721010332951
"blue",945.183279742765,512.721010332951
"blue",942.713826366559,512.721010332951
"blue",942.713826366559,512.721010332951
"blue",942.713826366559,512.721010332951
"blue",942.713826366559,512.721010332951
"blue",945.183279742765,510.241102181401
"blue",945.183279742765,510.241102181401
"blue",942.713826366559,515.200918484501
"blue",942.713826366559,517.68082663605
"blue",942.713826366559,520.160734787601
"blue",942.713826366559,520.160734787601
"blue",942.713826366559,522.64064293915
"blue",942.713826366559,522.64064293915
"blue",942.713826366559,522.64064293915
"blue",942.713826366559,522.64064293915
"blue",942.713826366559,522.64064293915
"blue",942.713826366559,522.64064293915
"blue",940.244372990354,522.64064293915
"blue",940.244372990354,520.160734787601
"blue",940.244372990354,520.160734787601
"blue",940.244372990354,520.160734787601
"blue",940.244372990354,520.160734787601
"blue",940.244372990354,520.160734787601
"blue",940.244372990354,520.160734787601
"blue",940.244372990354,517.68082663605
"blue",940.244372990354,517.68082663605
"blue",940.244372990354,517.68082663605
"blue",940.244372990354,517.68082663605
"blue",940.244372990354,517.68082663605
"blue",940.244372990354,515.200918484501
"blue",940.244372990354,515.200918484501
"blue",940.244372990354,515.200918484501
"blue",940.244372990354,512.721010332951
"blue",940.244372990354,515.200918484501
"blue",937.774919614148,515.200918484501
"blue",932.836012861736,520.160734787601
"blue",932.836012861736,520.160734787601
"blue",932.836012861736,520.160734787601
"blue",937.774919614148,515.200918484501
"blue",937.774919614148,515.200918484501
"blue",937.774919614148,515.200918484501
"blue",935.305466237942,517.68082663605
"blue",937.774919614148,515.200918484501
